state,teacherPay
New York,85889
California,83059
Massachusetts,82042
Connecticut,76465
New Jersey,74760
Washington,73049
Maryland,70463
Alaska,70277
Pennsylvania,68930
Illinois,67049
Rhode Island,67040
Oregon,65125
Delaware,63662
Hawaii,63201
Michigan,62170
Vermont,60672
Ohio,59713
New Hampshire,59182
Wyoming,58861
Wisconsin,58277
Minnesota,58221
Iowa,57489
Georgia,57095
Nevada,55950
Colorado,54935
Nebraska,54470
Texas,54121
Maine,54025
North Carolina,53940
North Dakota,53434
Kentucky,53434
Virginia,53267
Oklahoma,52397
Alabama,52009
Utah,51858
Tennessee,51349
Indiana,51119
Kansas,51082
South Carolina,50882
Idaho,50757
Montana,50721
Arizona,50353
Louisiana,50288
Missouri,50019
Arkansas,49438
Florida,48314
South Dakota,48204
New Mexico,47826
West Virginia,47681
Mississippi,45105
